"timestamp","device_hostname","action","policy_id","rule_name","src_zone","dst_zone","src_interface","dst_interface","src_ip","dst_ip","nat_src_ip","nat_dst_ip","src_port","dst_port","nat_src_port","nat_dst_port","protocol","tcp_flags","bytes","packets","session_status","session_reason"
"2026-08-23 17:23:17.571","fw-edge-01","allow","1002","allow-dns","WORKSTATION","WAN","ether4","ether1","192.168.11.190","185.60.112.1","203.0.113.27","185.60.112.1","62756","53","52897","53","UDP","-","321","3","closed","udp-flow-complete"
"2026-08-23 17:23:18.035","fw-edge-01","allow","1010","allow-app-proxy","WORKSTATION","SERVER","ether4","ether3","192.168.11.47","192.168.10.78","-","-","36116","8443","-","-","TCP","S","120","2","started","tcp-syn"
"2026-08-23 17:23:18.248","fw-edge-01","allow","1010","allow-app-proxy","SERVER","WAN","ether3","ether1","192.168.10.130","162.254.193.2","203.0.113.16","162.254.193.2","29806","8443","25266","8443","UDP","-","36146","31","closed","udp-flow-complete"
"2026-08-23 17:23:18.255","fw-edge-01","allow","1010","allow-app-proxy","SERVER","WAN","ether3","ether1","192.168.10.21","99.79.0.2","203.0.113.26","99.79.0.2","5950","8443","37716","8443","UDP","-","33456","41","closed","udp-flow-complete"
"2026-08-23 17:23:18.695","fw-edge-01","allow","1006","allow-icmp-outbound","SERVER","WAN","ether3","ether1","192.168.10.196","104.18.0.1","203.0.113.24","104.18.0.1","0","0","-","-","ICMP","-","1722","7","closed","icmp-complete"
"2026-08-23 17:23:19.361","fw-edge-01","allow","1001","allow-web-browsing","WORKSTATION","WAN","ether4","ether1","192.168.11.110","192.0.2.1","203.0.113.27","192.0.2.1","11402","443","37577","443","TCP","S","120","2","started","tcp-syn"
"2026-08-23 17:23:19.697","fw-edge-01","allow","1003","allow-ntp","WORKSTATION","WORKSTATION","ether4","ether4","192.168.11.6","192.168.11.99","-","-","3300","123","-","-","UDP","-","212","2","closed","udp-flow-complete"
"2026-08-23 17:23:20.066","fw-edge-01","allow","1003","allow-ntp","SERVER","SERVER","ether3","ether3","192.168.10.84","192.168.10.125","-","-","37727","123","-","-","TCP","FA","304","4","closed","tcp-fin"
"2026-08-23 17:23:20.244","fw-edge-01","allow","1001","allow-web-browsing","WORKSTATION","CORP-WIFI","ether4","ether2","192.168.11.243","192.168.1.94","-","-","6778","443","-","-","UDP","-","168144","113","closed","udp-flow-complete"
"2026-08-23 17:23:20.308","fw-edge-01","allow","1012","allow-east-west-internal","CORP-WIFI","SERVER","ether2","ether3","192.168.1.77","192.168.10.207","-","-","7625","60176","-","-","TCP","PA","7416","8","allowed","policy-allow"
"2026-08-23 17:23:20.858","fw-edge-01","allow","1001","allow-web-browsing","CORP-WIFI","WAN","ether2","ether1","192.168.1.199","141.121.68.206","203.0.113.24","141.121.68.206","52236","443","46214","443","TCP","A","17366","19","allowed","policy-allow"
"2026-08-23 17:23:21.095","fw-edge-01","allow","1003","allow-ntp","CORP-WIFI","CORP-WIFI","ether2","ether2","192.168.1.22","192.168.1.250","-","-","41835","123","-","-","UDP","-","215","2","closed","udp-flow-complete"
"2026-08-23 17:23:21.169","fw-edge-01","allow","1006","allow-icmp-outbound","WORKSTATION","WAN","ether4","ether1","192.168.11.88","52.222.0.2","203.0.113.21","52.222.0.2","0","0","-","-","ICMP","-","568","8","closed","icmp-complete"
